group_id,year_group,subject,lessons_per_week,class_size,group_type,option_block,allowed_teachers,preferred_teacher,notes
10A_ENG,10,English,3,27,core,,,T001,
10A_MAT,10,Mathematics,3,27,core,,,T002,
10A_SCI,10,Science,3,27,core,,,T003,
10A_CS,10,Computer Science,3,18,option,A,,T006,
10A_ART,10,Art,3,20,option,A,,T008,
10A_GEO,10,Geography,3,22,option,A,,T009,
10B_SPA,10,Spanish,3,21,option,B,,T010,
11A_ENG,11,English,3,25,core,,,T001,
11A_MAT,11,Mathematics,3,25,core,,,T002,
11A_SCI,11,Science,3,25,core,,,T003,
11A_CS,11,Computer Science,3,17,option,A,,T006,
11A_ART,11,Art,3,18,option,A,,T008,
11A_GEO,11,Geography,3,19,option,A,,T009,
